player,team,stat_type,line_score
Jalen Williams,OKC,PTS,21.5
Shai Gilgeous-Alexander,OKC,Fantasy Score,56.5
Alex Caruso,OKC,Rebs+Asts,5.5
Luguentz Dort,OKC,Rebs+Asts,5.0
Shai Gilgeous-Alexander,OKC,Two Pointers Attempted,19.0
Shai Gilgeous-Alexander,OKC,Points In First 5 Minutes,4.0
Shai Gilgeous-Alexander,OKC,PRA In First 5 Minutes,5.0
Shai Gilgeous-Alexander,OKC,AST,7.0
Shai Gilgeous-Alexander,OKC,Two Pointers Made,10.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,46.5
Shai Gilgeous-Alexander,OKC,Pts+Rebs,39.5
Shai Gilgeous-Alexander,OKC,PTS,33.5
Shai Gilgeous-Alexander,OKC,Steals,1.5
Shai Gilgeous-Alexander,OKC,Dunks,0.5
Shai Gilgeous-Alexander,OKC,Free Throws Attempted,9.5
Shai Gilgeous-Alexander,OKC,Free Throws Made,8.5
Shai Gilgeous-Alexander,OKC,REB,5.5
Shai Gilgeous-Alexander,OKC,Pts+Asts,41.5
Shai Gilgeous-Alexander,OKC,Rebs+Asts,12.5
Shai Gilgeous-Alexander,OKC,FG Attempted,24.5
Shai Gilgeous-Alexander,OKC,Personal Fouls,2.5
Shai Gilgeous-Alexander,OKC,3-PT Attempted,5.0
Shai Gilgeous-Alexander,OKC,FG Made,12.0
Tyrese Haliburton,IND,3-PT Made,2.5
Tyrese Haliburton,IND,PTS,17.5
Tyrese Haliburton,IND,Two Pointers Attempted,6.5
Tyrese Haliburton,IND,Rebs+Asts,13.0
Tyrese Haliburton,IND,Pts+Rebs,22.5
Tyrese Haliburton,IND,Pts+Rebs+Asts,31.0
Tyrese Haliburton,IND,Fantasy Score,38.5
Tyrese Haliburton,IND,REB,5.0
Tyrese Haliburton,IND,PRA In First 5 Minutes,3.5
Tyrese Haliburton,IND,3-PT Attempted,7.0
Tyrese Haliburton,IND,Free Throws Attempted,3.5
Tyrese Haliburton,IND,FG Made,6.5
Tyrese Haliburton,IND,AST,8.0
Tyrese Haliburton,IND,FG Attempted,14.0
Tyrese Haliburton,IND,Free Throws Made,3.0
Tyrese Haliburton,IND,Pts+Asts,25.5
Jalen Williams,OKC,Two Pointers Made,6.5
Jalen Williams,OKC,Pts+Rebs+Asts,32.5
Jalen Williams,OKC,PTS,21.5
Jalen Williams,OKC,Rebs+Asts,11.0
Jalen Williams,OKC,Pts+Rebs,27.0
Jalen Williams,OKC,AST,5.0
Jalen Williams,OKC,Free Throws Attempted,4.5
Jalen Williams,OKC,Free Throws Made,3.5
Jalen Williams,OKC,FG Attempted,16.5
Jalen Williams,OKC,Pts+Asts,26.5
Jalen Williams,OKC,FG Made,8.0
Jalen Williams,OKC,PRA In First 5 Minutes,4.0
Jalen Williams,OKC,REB,5.5
Jalen Williams,OKC,Fantasy Score,38.0
