player,team,stat_type,line_score
Aaron Nesmith,IND,Rebs+Asts,6.0
Tyrese Haliburton,IND,REB,4.0
Myles Turner,IND,Offensive Rebounds,1.5
Myles Turner,IND,Rebs+Asts,6.5
Myles Turner,IND,PTS,13.5
Myles Turner,IND,FG Made,4.0
Myles Turner,IND,Personal Fouls,3.0
Myles Turner,IND,FG Attempted,10.0
Myles Turner,IND,Defensive Rebounds,3.5
Myles Turner,IND,3-PT Attempted,5.0
Myles Turner,IND,REB,5.0
Myles Turner,IND,Pts+Rebs,18.5
Myles Turner,IND,Two Pointers Made,2.5
Myles Turner,IND,Two Pointers Attempted,5.0
Myles Turner,IND,Fantasy Score,27.0
Myles Turner,IND,Pts+Asts,15.0
Myles Turner,IND,3-PT Made,1.5
Myles Turner,IND,Pts+Rebs+Asts,20.0
Myles Turner,IND,Dunks,0.5
T.J. McConnell,IND,Fantasy Score,21.0
T.J. McConnell,IND,Pts+Asts,15.0
T.J. McConnell,IND,FG Attempted,8.5
T.J. McConnell,IND,AST,4.5
T.J. McConnell,IND,Rebs+Asts,8.0
T.J. McConnell,IND,Two Pointers Attempted,7.5
T.J. McConnell,IND,PTS,10.5
T.J. McConnell,IND,Pts+Rebs,13.5
T.J. McConnell,IND,Pts+Rebs+Asts,18.5
Luguentz Dort,OKC,Fantasy Score,17.5
Luguentz Dort,OKC,PTS,8.0
Luguentz Dort,OKC,REB,3.5
Luguentz Dort,OKC,Pts+Rebs,11.5
Luguentz Dort,OKC,Pts+Asts,9.0
Luguentz Dort,OKC,Personal Fouls,3.5
Luguentz Dort,OKC,3-PT Attempted,5.0
Luguentz Dort,OKC,Pts+Rebs+Asts,13.0
Kenrich Williams,OKC,AST,0.5
Aaron Wiggins,OKC,Pts+Rebs,8.5
Aaron Wiggins,OKC,PTS,6.0
Aaron Wiggins,OKC,Pts+Rebs+Asts,9.5
Aaron Wiggins,OKC,Pts+Asts,7.5
Aaron Wiggins,OKC,Turnovers,0.5
Jalen Williams,OKC,Pts+Asts,28.5
Jalen Williams,OKC,Pts+Rebs,29.0
Jalen Williams,OKC,FG Attempted,17.5
Jalen Williams,OKC,Fantasy Score,40.0
Jalen Williams,OKC,PTS,23.5
Jalen Williams,OKC,FG Made,8.0
Jalen Williams,OKC,Free Throws Made,5.5
Jalen Williams,OKC,Two Pointers Attempted,12.5
Jalen Williams,OKC,Two Pointers Made,6.5
Jalen Williams,OKC,3-PT Attempted,4.5
Jalen Williams,OKC,Personal Fouls,3.0
Jalen Williams,OKC,Free Throws Attempted,6.5
Jalen Williams,OKC,Rebs+Asts,10.5
Jalen Williams,OKC,AST,4.5
Jalen Williams,OKC,3-PT Made,1.5
Jalen Williams,OKC,Pts+Rebs+Asts,34.0
Andrew Nembhard,IND,FG Made,4.0
Andrew Nembhard,IND,Fantasy Score,21.5
Andrew Nembhard,IND,PTS,10.5
Andrew Nembhard,IND,Rebs+Asts,8.0
Andrew Nembhard,IND,Personal Fouls,3.0
Andrew Nembhard,IND,Pts+Rebs+Asts,19.0
Andrew Nembhard,IND,Pts+Rebs,14.0
Andrew Nembhard,IND,Pts+Asts,15.5
Andrew Nembhard,IND,Free Throws Made,1.5
Andrew Nembhard,IND,AST,5.0
Andrew Nembhard,IND,FG Attempted,9.0
Andrew Nembhard,IND,Two Pointers Attempted,5.0
Aaron Nesmith,IND,3-PT Attempted,5.0
Aaron Nesmith,IND,Pts+Rebs+Asts,17.5
Aaron Nesmith,IND,Pts+Rebs,16.5
Aaron Nesmith,IND,Personal Fouls,4.0
Aaron Nesmith,IND,FG Made,4.0
Aaron Nesmith,IND,Two Pointers Attempted,3.5
Aaron Nesmith,IND,Fantasy Score,20.0
Aaron Nesmith,IND,REB,5.0
Aaron Nesmith,IND,Pts+Asts,12.5
Aaron Nesmith,IND,Free Throws Made,1.5
Aaron Nesmith,IND,FG Attempted,9.0
Aaron Nesmith,IND,PTS,11.0
Bennedict Mathurin,IND,3-PT Attempted,2.5
Bennedict Mathurin,IND,Fantasy Score,18.5
Bennedict Mathurin,IND,Pts+Asts,12.0
Bennedict Mathurin,IND,Pts+Rebs+Asts,15.5
Bennedict Mathurin,IND,Pts+Rebs,14.5
Bennedict Mathurin,IND,Rebs+Asts,4.5
Bennedict Mathurin,IND,Two Pointers Attempted,4.5
Bennedict Mathurin,IND,PTS,10.5
Bennedict Mathurin,IND,Free Throws Made,3.5
Chet Holmgren,OKC,Personal Fouls,3.0
Chet Holmgren,OKC,Free Throws Made,3.0
Chet Holmgren,OKC,Pts+Rebs+Asts,26.5
Chet Holmgren,OKC,Two Pointers Made,4.5
Chet Holmgren,OKC,3-PT Attempted,3.5
Chet Holmgren,OKC,Pts+Asts,17.0
Chet Holmgren,OKC,Two Pointers Attempted,8.0
Chet Holmgren,OKC,Turnovers,1.5
