player,team,stat_type,line_score
Myles Turner,IND,Two Pointers Made,3.0
Jalen Williams,OKC,Two Pointers Made,6.0
Chet Holmgren,OKC,Two Pointers Made,4.5
Pascal Siakam,IND,Two Pointers Made,6.0
Shai Gilgeous-Alexander,OKC,Two Pointers Made,10.0
Isaiah Joe,OKC,PTS,2.5
Isaiah Joe,OKC,3-PT Attempted,1.5
Myles Turner,IND,REB,5.0
Myles Turner,IND,Pts+Rebs,19.5
Myles Turner,IND,PTS,13.5
Myles Turner,IND,Rebs+Asts,6.5
Myles Turner,IND,Two Pointers Attempted,5.5
Myles Turner,IND,Pts+Rebs+Asts,20.5
Myles Turner,IND,Free Throws Attempted,3.5
Myles Turner,IND,Free Throws Made,2.5
Myles Turner,IND,FG Attempted,10.5
Myles Turner,IND,FG Made,4.5
Myles Turner,IND,Pts+Asts,15.0
T.J. McConnell,IND,Two Pointers Attempted,5.5
T.J. McConnell,IND,FG Attempted,6.0
T.J. McConnell,IND,Turnovers,1.5
T.J. McConnell,IND,Pts+Rebs+Asts,13.5
T.J. McConnell,IND,Rebs+Asts,6.0
T.J. McConnell,IND,Pts+Rebs,9.5
T.J. McConnell,IND,Pts+Asts,11.0
T.J. McConnell,IND,PTS,7.5
Luguentz Dort,OKC,FG Attempted,8.0
Luguentz Dort,OKC,Personal Fouls,3.0
Luguentz Dort,OKC,Pts+Asts,9.5
Luguentz Dort,OKC,Pts+Rebs,12.5
Luguentz Dort,OKC,3-PT Attempted,5.5
Luguentz Dort,OKC,Two Pointers Attempted,2.5
Luguentz Dort,OKC,REB,3.5
Luguentz Dort,OKC,Free Throws Attempted,0.5
Luguentz Dort,OKC,PTS,8.5
Luguentz Dort,OKC,Pts+Rebs+Asts,14.0
Aaron Wiggins,OKC,PTS,5.5
Aaron Wiggins,OKC,Pts+Rebs+Asts,8.5
Aaron Wiggins,OKC,Pts+Rebs,7.5
Aaron Wiggins,OKC,PTS,5.5
Jalen Williams,OKC,Free Throws Made,4.5
Jalen Williams,OKC,Pts+Asts,26.5
Jalen Williams,OKC,Pts+Rebs,27.0
Jalen Williams,OKC,Pts+Rebs+Asts,32.5
Jalen Williams,OKC,REB,5.5
Jalen Williams,OKC,Points In First 5 Minutes,2.5
Jalen Williams,OKC,PRA In First 5 Minutes,4.0
Jalen Williams,OKC,AST,5.0
Jalen Williams,OKC,Free Throws Attempted,5.5
Jalen Williams,OKC,Rebs+Asts,11.0
Jalen Williams,OKC,Two Pointers Attempted,12.5
Jalen Williams,OKC,FG Attempted,17.5
Jalen Williams,OKC,3-PT Attempted,4.5
Jalen Williams,OKC,PTS,21.5
Jalen Williams,OKC,FG Made,7.5
Jalen Williams,OKC,3-PT Made,1.5
Andrew Nembhard,IND,Two Pointers Attempted,5.5
Andrew Nembhard,IND,FG Attempted,9.0
Andrew Nembhard,IND,FG Made,4.0
Andrew Nembhard,IND,PTS,10.5
Andrew Nembhard,IND,Free Throws Made,1.5
Andrew Nembhard,IND,Two Pointers Made,3.0
Andrew Nembhard,IND,3-PT Attempted,3.5
Andrew Nembhard,IND,REB,3.5
Andrew Nembhard,IND,Pts+Rebs+Asts,19.0
Andrew Nembhard,IND,Pts+Rebs,14.5
Andrew Nembhard,IND,Pts+Asts,15.5
Aaron Nesmith,IND,Pts+Asts,12.0
Aaron Nesmith,IND,Pts+Rebs,16.5
Aaron Nesmith,IND,FG Attempted,9.0
Aaron Nesmith,IND,Rebs+Asts,5.5
Aaron Nesmith,IND,3-PT Attempted,5.5
Aaron Nesmith,IND,Personal Fouls,3.5
Aaron Nesmith,IND,Pts+Rebs+Asts,17.0
Aaron Nesmith,IND,PTS,11.5
Aaron Nesmith,IND,REB,4.5
Aaron Nesmith,IND,Blocked Shots,0.5
Aaron Nesmith,IND,Two Pointers Attempted,3.5
Aaron Nesmith,IND,Free Throws Made,1.5
Bennedict Mathurin,IND,Free Throws Made,3.0
Bennedict Mathurin,IND,3-PT Attempted,2.5
Bennedict Mathurin,IND,Two Pointers Attempted,5.0
Bennedict Mathurin,IND,FG Made,3.5
Bennedict Mathurin,IND,FG Attempted,8.0
Bennedict Mathurin,IND,Pts+Rebs+Asts,15.5
Bennedict Mathurin,IND,Pts+Rebs,14.0
Bennedict Mathurin,IND,Pts+Asts,12.5
Bennedict Mathurin,IND,PTS,11.0
Isaiah Joe,OKC,3-PT Made,0.5
Chet Holmgren,OKC,REB,8.5
Chet Holmgren,OKC,Steals,0.5
Chet Holmgren,OKC,Pts+Rebs+Asts,26.0
Chet Holmgren,OKC,Pts+Rebs,24.5
Chet Holmgren,OKC,PTS,15.5
Chet Holmgren,OKC,Blocked Shots,1.5
Chet Holmgren,OKC,FG Made,5.5
Chet Holmgren,OKC,Rebs+Asts,10.0
Chet Holmgren,OKC,Pts+Asts,17.0
Chet Holmgren,OKC,Free Throws Made,3.0
Chet Holmgren,OKC,Two Pointers Attempted,7.5
Chet Holmgren,OKC,FG Attempted,11.5
Obi Toppin,IND,PTS,9.5
Obi Toppin,IND,Pts+Rebs,14.0
Obi Toppin,IND,Pts+Rebs+Asts,15.5
Obi Toppin,IND,Free Throws Made,0.5
Obi Toppin,IND,FG Attempted,7.5
Obi Toppin,IND,Rebs+Asts,6.0
Obi Toppin,IND,Free Throws Attempted,1.5
Obi Toppin,IND,Pts+Asts,10.5
Ben Sheppard,IND,3-PT Made,0.5
Ben Sheppard,IND,FG Attempted,2.5
Ben Sheppard,IND,Pts+Rebs+Asts,5.5
Ben Sheppard,IND,AST,0.5
Cason Wallace,OKC,Two Pointers Made,1.5
Cason Wallace,OKC,PTS,5.5
Cason Wallace,OKC,Pts+Asts,8.0
Cason Wallace,OKC,Pts+Rebs+Asts,10.5
Cason Wallace,OKC,Pts+Rebs,8.5
Cason Wallace,OKC,FG Attempted,5.5
Cason Wallace,OKC,FG Made,2.5
Pascal Siakam,IND,FG Attempted,15.0
Pascal Siakam,IND,Two Pointers Attempted,12.0
Pascal Siakam,IND,PRA In First 5 Minutes,3.5
Pascal Siakam,IND,Points In First 5 Minutes,2.5
Pascal Siakam,IND,Blocked Shots,0.5
Pascal Siakam,IND,Free Throws Made,4.0
Pascal Siakam,IND,Free Throws Attempted,6.0
Pascal Siakam,IND,FG Made,7.0
Pascal Siakam,IND,Personal Fouls,3.0
Pascal Siakam,IND,PTS,19.5
Pascal Siakam,IND,Rebs+Asts,10.5
Pascal Siakam,IND,Pts+Rebs+Asts,30.5
Pascal Siakam,IND,Pts+Asts,23.0
Pascal Siakam,IND,Pts+Rebs,27.5
Tyrese Haliburton + Shai Gilgeous-Alexander,IND/OKC,Assists (Combo),15.5
Myles Turner + Isaiah Hartenstein,IND/OKC,Rebounds (Combo),12.0
Tyrese Haliburton,IND,Rebs+Asts,14.0
Tyrese Haliburton,IND,AST,8.5
Tyrese Haliburton,IND,Turnovers,2.5
Tyrese Haliburton,IND,PRA In First 5 Minutes,3.5
Tyrese Haliburton,IND,3-PT Attempted,7.0
Tyrese Haliburton,IND,PTS,18.5
Tyrese Haliburton,IND,Pts+Asts,27.5
Tyrese Haliburton,IND,FG Attempted,14.5
Tyrese Haliburton,IND,Two Pointers Attempted,7.0
Tyrese Haliburton,IND,Free Throws Attempted,3.0
Tyrese Haliburton,IND,FG Made,6.0
